Dataset , TrainingReleases , %DataTraining , %DefectiveTraining , %DefectiveTesting , Classifier , Balancing , FeatureSelection , TP , FP , TN , FN , Precision , Recall  , AUC , Kappa 
OpenJPABugginess.arff,2,5,1,2,RandomForest,None,BestFirst,8.0,3.0,1096.0,23.0,0.7272727272727273,0.25806451612903225,0.7885908010214565,0.3719269742186498
OpenJPABugginess.arff,2,5,1,2,IBk,None,BestFirst,5.0,20.0,1079.0,26.0,0.2,0.16129032258064516,0.5990783410138248,0.1579458934067713
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,UnderSampling,BestFirst,21.0,194.0,905.0,10.0,0.09767441860465116,0.6774193548387096,0.7991429158472512,0.128962781031551
OpenJPABugginess.arff,2,5,1,2,RandomForest,UnderSampling,BestFirst,19.0,173.0,926.0,12.0,0.09895833333333333,0.6129032258064516,0.8406909507176612,0.12927034479311553
OpenJPABugginess.arff,2,5,1,2,IBk,UnderSampling,BestFirst,24.0,539.0,560.0,7.0,0.04262877442273535,0.7741935483870968,0.6256714315066483,0.030384369980858507
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,OverSampling,BestFirst,20.0,177.0,922.0,11.0,0.10152284263959391,0.6451612903225806,0.8037071824826089,0.13440303798293615
OpenJPABugginess.arff,2,5,1,2,RandomForest,OverSampling,BestFirst,7.0,9.0,1090.0,24.0,0.4375,0.22580645161290322,0.7835862514309196,0.28450823132123276
OpenJPABugginess.arff,2,5,1,2,IBk,OverSampling,BestFirst,7.0,70.0,1029.0,24.0,0.09090909090909091,0.22580645161290322,0.6101734714843406,0.09419610117169487
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,Smote,BestFirst,17.0,133.0,966.0,14.0,0.11333333333333333,0.5483870967741935,0.7732689541812204,0.1491574040874864
OpenJPABugginess.arff,2,5,1,2,RandomForest,Smote,BestFirst,7.0,4.0,1095.0,24.0,0.6363636363636364,0.22580645161290322,0.7956206522058176,0.3236136645431625
OpenJPABugginess.arff,2,5,1,2,IBk,Smote,BestFirst,6.0,22.0,1077.0,25.0,0.21428571428571427,0.1935483870967742,0.611553024743902,0.1820925863184144
OpenJPABugginess.arff,3,8,2,4,NaiveBayes,None,None,21.0,60.0,1148.0,34.0,0.25925925925925924,0.38181818181818183,0.7735099337748345,0.27100909995210587
OpenJPABugginess.arff,3,8,2,4,RandomForest,None,None,24.0,7.0,1201.0,31.0,0.7741935483870968,0.43636363636363634,0.8374397953040337,0.5438179606113612
OpenJPABugginess.arff,3,8,2,4,IBk,None,None,24.0,7.0,1201.0,31.0,0.7741935483870968,0.43636363636363634,0.7199503311258278,0.5438179606113612
OpenJPABugginess.arff,3,8,2,4,NaiveBayes,UnderSampling,None,29.0,103.0,1105.0,26.0,0.2196969696969697,0.5272727272727272,0.7727950030102348,0.2649721872589223
OpenJPABugginess.arff,3,8,2,4,RandomForest,UnderSampling,None,43.0,209.0,999.0,12.0,0.17063492063492064,0.7818181818181819,0.8958082480433474,0.22470355895906058
OpenJPABugginess.arff,3,8,2,4,IBk,UnderSampling,None,41.0,317.0,891.0,14.0,0.11452513966480447,0.7454545454545455,0.7415186634557496,0.13309997739709986
OpenJPABugginess.arff,3,8,2,4,NaiveBayes,OverSampling,None,25.0,77.0,1131.0,30.0,0.24509803921568626,0.45454545454545453,0.7808172787477423,0.27759513767500005
OpenJPABugginess.arff,3,8,2,4,RandomForest,OverSampling,None,28.0,18.0,1190.0,27.0,0.6086956521739131,0.509090909090909,0.7928205900060205,0.5360521783140006
OpenJPABugginess.arff,3,8,2,4,IBk,OverSampling,None,25.0,20.0,1188.0,30.0,0.5555555555555556,0.45454545454545453,0.6771974714027694,0.4796044499381954
OpenJPABugginess.arff,3,8,2,4,NaiveBayes,Smote,None,22.0,98.0,1110.0,33.0,0.18333333333333332,0.4,0.7641180012040939,0.2038830747022739
OpenJPABugginess.arff,3,8,2,4,RandomForest,Smote,None,24.0,7.0,1201.0,31.0,0.7741935483870968,0.43636363636363634,0.8693106562311861,0.5438179606113612
OpenJPABugginess.arff,3,8,2,4,IBk,Smote,None,24.0,7.0,1201.0,31.0,0.7741935483870968,0.43636363636363634,0.7199503311258278,0.5438179606113612
OpenJPABugginess.arff,3,8,2,4,NaiveBayes,None,BestFirst,21.0,72.0,1136.0,34.0,0.22580645161290322,0.38181818181818183,0.7629665863937387,0.24231722639138828
OpenJPABugginess.arff,3,8,2,4,RandomForest,None,BestFirst,9.0,5.0,1203.0,46.0,0.6428571428571429,0.16363636363636364,0.8428055388320289,0.24757321247094274
OpenJPABugginess.arff,3,8,2,4,IBk,None,BestFirst,12.0,23.0,1185.0,43.0,0.34285714285714286,0.21818181818181817,0.6218994581577363,0.24095793116008102
OpenJPABugginess.arff,3,8,2,4,NaiveBayes,UnderSampling,BestFirst,32.0,130.0,1078.0,23.0,0.19753086419753085,0.5818181818181818,0.7627408187838651,0.24589952819696342
OpenJPABugginess.arff,3,8,2,4,RandomForest,UnderSampling,BestFirst,45.0,327.0,881.0,10.0,0.12096774193548387,0.8181818181818182,0.855373269114991,0.1459726594713682
OpenJPABugginess.arff,3,8,2,4,IBk,UnderSampling,BestFirst,41.0,378.0,830.0,14.0,0.09785202863961814,0.7454545454545455,0.7162703190848886,0.10401540432739995
OpenJPABugginess.arff,3,8,2,4,NaiveBayes,OverSampling,BestFirst,28.0,115.0,1093.0,27.0,0.1958041958041958,0.509090909090909,0.7617173389524383,0.23468917488819882
OpenJPABugginess.arff,3,8,2,4,RandomForest,OverSampling,BestFirst,19.0,10.0,1198.0,36.0,0.6551724137931034,0.34545454545454546,0.839923239012643,0.43540455967813996
OpenJPABugginess.arff,3,8,2,4,IBk,OverSampling,BestFirst,20.0,49.0,1159.0,35.0,0.2898550724637681,0.36363636363636365,0.6290487658037327,0.2880782703225029
OpenJPABugginess.arff,3,8,2,4,NaiveBayes,Smote,BestFirst,22.0,113.0,1095.0,33.0,0.16296296296296298,0.4,0.7552378085490669,0.18089019189765468
OpenJPABugginess.arff,3,8,2,4,RandomForest,Smote,BestFirst,11.0,9.0,1199.0,44.0,0.55,0.2,0.8393211920529802,0.2765306673871929
OpenJPABugginess.arff,3,8,2,4,IBk,Smote,BestFirst,16.0,32.0,1176.0,39.0,0.3333333333333333,0.2909090909090909,0.652460866947622,0.28151815974809485
OpenJPABugginess.arff,4,11,2,3,NaiveBayes,None,None,16.0,65.0,1276.0,27.0,0.19753086419753085,0.37209302325581395,0.8357525623016493,0.2266747646522921
OpenJPABugginess.arff,4,11,2,3,RandomForest,None,None,39.0,15.0,1326.0,4.0,0.7222222222222222,0.9069767441860465,0.9830914104365017,0.7971050276226035
OpenJPABugginess.arff,4,11,2,3,IBk,None,None,39.0,16.0,1325.0,4.0,0.7090909090909091,0.9069767441860465,0.9483897820092607,0.7885441016943969
OpenJPABugginess.arff,4,11,2,3,NaiveBayes,UnderSampling,None,19.0,86.0,1255.0,24.0,0.18095238095238095,0.4418604651162791,0.8048835475088011,0.22247985209548377
OpenJPABugginess.arff,4,11,2,3,RandomForest,UnderSampling,None,43.0,301.0,1040.0,0.0,0.125,1.0,0.98460017688986,0.17675050985724008
OpenJPABugginess.arff,4,11,2,3,IBk,UnderSampling,None,43.0,506.0,835.0,0.0,0.07832422586520947,1.0,0.8113348247576435,0.09300440090452948
OpenJPABugginess.arff,4,11,2,3,NaiveBayes,OverSampling,None,23.0,79.0,1262.0,20.0,0.22549019607843138,0.5348837209302325,0.8816918994849383,0.28603289076015553
OpenJPABugginess.arff,4,11,2,3,RandomForest,OverSampling,None,39.0,28.0,1313.0,4.0,0.582089552238806,0.9069767441860465,0.9711860291694847,0.6976474282827457
OpenJPABugginess.arff,4,11,2,3,IBk,OverSampling,None,39.0,21.0,1320.0,4.0,0.65,0.9069767441860465,0.9289492395470232,0.748165832071736
OpenJPABugginess.arff,4,11,2,3,NaiveBayes,Smote,None,17.0,107.0,1234.0,26.0,0.13709677419354838,0.3953488372093023,0.8340877165600125,0.16507003410987747
OpenJPABugginess.arff,4,11,2,3,RandomForest,Smote,None,38.0,16.0,1325.0,5.0,0.7037037037037037,0.8837209302325582,0.9847042297487123,0.775747662109194
OpenJPABugginess.arff,4,11,2,3,IBk,Smote,None,39.0,16.0,1325.0,4.0,0.7090909090909091,0.9069767441860465,0.9483897820092607,0.7885441016943969
OpenJPABugginess.arff,4,11,2,3,NaiveBayes,None,BestFirst,18.0,69.0,1272.0,25.0,0.20689655172413793,0.4186046511627907,0.7622045332362173,0.24554912490286315
OpenJPABugginess.arff,4,11,2,3,RandomForest,None,BestFirst,30.0,15.0,1326.0,13.0,0.6666666666666666,0.6976744186046512,0.9373341657562041,0.6713759943013184
OpenJPABugginess.arff,4,11,2,3,IBk,None,BestFirst,31.0,18.0,1323.0,12.0,0.6326530612244898,0.7209302325581395,0.8767493886894543,0.66275159608168
OpenJPABugginess.arff,4,11,2,3,NaiveBayes,UnderSampling,BestFirst,20.0,102.0,1239.0,23.0,0.16393442622950818,0.46511627906976744,0.7629068900334703,0.20594121211008498
OpenJPABugginess.arff,4,11,2,3,RandomForest,UnderSampling,BestFirst,41.0,323.0,1018.0,2.0,0.11263736263736264,0.9534883720930233,0.9244489534016613,0.15448584919847225
OpenJPABugginess.arff,4,11,2,3,IBk,UnderSampling,BestFirst,40.0,419.0,922.0,3.0,0.08714596949891068,0.9302325581395349,0.8096959922307199,0.1087237179037198
OpenJPABugginess.arff,4,11,2,3,NaiveBayes,OverSampling,BestFirst,19.0,97.0,1244.0,24.0,0.16379310344827586,0.4418604651162791,0.7626641000294816,0.20285605483625255
OpenJPABugginess.arff,4,11,2,3,RandomForest,OverSampling,BestFirst,32.0,33.0,1308.0,11.0,0.49230769230769234,0.7441860465116279,0.9344206857083398,0.5767642929622888
OpenJPABugginess.arff,4,11,2,3,IBk,OverSampling,BestFirst,31.0,45.0,1296.0,12.0,0.40789473684210525,0.7209302325581395,0.8510049771950817,0.5012139605462818
OpenJPABugginess.arff,4,11,2,3,NaiveBayes,Smote,BestFirst,18.0,110.0,1231.0,25.0,0.140625,0.4186046511627907,0.7550595702616929,0.17201403906831597
OpenJPABugginess.arff,4,11,2,3,RandomForest,Smote,BestFirst,32.0,21.0,1320.0,11.0,0.6037735849056604,0.7441860465116279,0.9554046789102197,0.6548251835455867
OpenJPABugginess.arff,4,11,2,3,IBk,Smote,BestFirst,32.0,20.0,1321.0,11.0,0.6153846153846154,0.7441860465116279,0.8857152766938938,0.6621945074326026
OpenJPABugginess.arff,5,15,2,2,NaiveBayes,None,None,17.0,70.0,2046.0,32.0,0.19540229885057472,0.3469387755102041,0.802592492573589,0.22763488321663114
OpenJPABugginess.arff,5,15,2,2,RandomForest,None,None,37.0,6.0,2110.0,12.0,0.8604651162790697,0.7551020408163265,0.9689248099996142,0.8001189951068395
OpenJPABugginess.arff,5,15,2,2,IBk,None,None,37.0,7.0,2109.0,12.0,0.8409090909090909,0.7551020408163265,0.876880714478608,0.7912278653829562
OpenJPABugginess.arff,5,15,2,2,NaiveBayes,UnderSampling,None,22.0,99.0,2017.0,27.0,0.18181818181818182,0.4489795918367347,0.7874455075035686,0.23414899829305635
OpenJPABugginess.arff,5,15,2,2,RandomForest,UnderSampling,None,44.0,239.0,1877.0,5.0,0.15547703180212014,0.8979591836734694,0.9390214497897458,0.23556463679697184
OpenJPABugginess.arff,5,15,2,2,IBk,UnderSampling,None,45.0,955.0,1161.0,4.0,0.045,0.9183673469387755,0.7335220477605031,0.04456797594203631
OpenJPABugginess.arff,5,15,2,2,NaiveBayes,OverSampling,None,24.0,83.0,2033.0,25.0,0.22429906542056074,0.4897959183673469,0.8391940897341924,0.28550911524381767
OpenJPABugginess.arff,5,15,2,2,RandomForest,OverSampling,None,41.0,60.0,2056.0,8.0,0.40594059405940597,0.8367346938775511,0.95667123181976,0.5324152300128312
OpenJPABugginess.arff,5,15,2,2,IBk,OverSampling,None,39.0,16.0,2100.0,10.0,0.7090909090909091,0.7959183673469388,0.8863035762509163,0.7438685898894285
OpenJPABugginess.arff,5,15,2,2,NaiveBayes,Smote,None,17.0,116.0,2000.0,32.0,0.12781954887218044,0.3469387755102041,0.798816596581922,0.15899379521044762
OpenJPABugginess.arff,5,15,2,2,RandomForest,Smote,None,37.0,6.0,2110.0,12.0,0.8604651162790697,0.7551020408163265,0.9705210061340226,0.8001189951068395
OpenJPABugginess.arff,5,15,2,2,IBk,Smote,None,38.0,490.0,1626.0,11.0,0.07196969696969698,0.7755102040816326,0.7728723814667644,0.09419596963909502
OpenJPABugginess.arff,5,15,2,2,NaiveBayes,None,BestFirst,19.0,69.0,2047.0,30.0,0.2159090909090909,0.3877551020408163,0.7725010609158597,0.2557321489959403
OpenJPABugginess.arff,5,15,2,2,RandomForest,None,BestFirst,30.0,3.0,2113.0,19.0,0.9090909090909091,0.6122448979591837,0.9331815902164269,0.7267292422086578
OpenJPABugginess.arff,5,15,2,2,IBk,None,BestFirst,29.0,10.0,2106.0,20.0,0.7435897435897436,0.5918367346938775,0.8978579144323136,0.652111966919838
OpenJPABugginess.arff,5,15,2,2,NaiveBayes,UnderSampling,BestFirst,23.0,122.0,1994.0,26.0,0.15862068965517243,0.46938775510204084,0.7638256625901778,0.21039921143420373
OpenJPABugginess.arff,5,15,2,2,RandomForest,UnderSampling,BestFirst,43.0,342.0,1774.0,6.0,0.11168831168831168,0.8775510204081632,0.9103815439219166,0.16461170000443537
OpenJPABugginess.arff,5,15,2,2,IBk,UnderSampling,BestFirst,42.0,510.0,1606.0,7.0,0.07608695652173914,0.8571428571428571,0.8237866980440569,0.10245142810862928
