Release ; Filename ; Size ; LocTouched ; NR  ; NFix ; NAuth  ; LocAdded ; MaxLocAdded ; AvgLocAdded ; Churn ; MaxChurn ; AvgChurn ; ChgSetSize ; MaxChgSetSize ; AvgChgSetSize ; Bugginess
1;src\main\java\org\apache\hedwig\client\exceptions\InvalidSubscriberIdException.java;32;37;1;0;1;37;37;0.0;37;37;0.0;278;278;278.0;no
1;src\main\java\org\apache\hedwig\client\exceptions\ServerRedirectLoopException.java;33;42;2;0;2;40;38;0.0;38;38;0.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\client\exceptions\TooManyServerRedirectsException.java;34;41;2;0;2;40;39;0.0;39;39;0.0;284;278;225.0;no
1;src\main\java\org\apache\hedwig\client\handlers\PubSubCallback.java;77;94;3;0;2;91;87;1.0;88;87;1.0;287;278;182.0;no
1;src\main\java\org\apache\hedwig\client\handlers\PublishResponseHandler.java;64;85;4;0;2;78;70;1.0;71;70;1.0;289;278;144.0;no
1;src\main\java\org\apache\hedwig\client\handlers\SubscribeReconnectCallback.java;102;132;4;0;2;123;113;1.0;114;113;1.0;289;278;144.0;yes
1;src\main\java\org\apache\hedwig\client\handlers\SubscribeResponseHandler.java;317;492;6;2;3;414;329;4.0;336;329;3.0;289;278;97.0;yes
1;src\main\java\org\apache\hedwig\client\handlers\UnsubscribeResponseHandler.java;76;102;4;0;2;93;83;1.0;84;83;1.0;289;278;144.0;no
1;src\main\java\org\apache\hedwig\client\netty\impl\ClientChannelPipelineFactory.java;49;68;3;0;2;63;58;1.0;58;58;1.0;286;278;160.0;no
1;src\main\java\org\apache\hedwig\client\netty\HedwigClientImpl.java;332;399;4;0;2;384;359;4.0;369;359;4.0;289;278;144.0;yes
1;src\main\java\org\apache\hedwig\client\netty\HedwigPublisher.java;211;255;5;0;2;243;224;2.0;231;224;2.0;289;278;115.0;yes
1;src\main\java\org\apache\hedwig\client\netty\HedwigSubscriber.java;541;704;4;0;2;645;585;6.0;586;585;6.0;289;278;144.0;yes
1;src\main\java\org\apache\hedwig\client\netty\ResponseHandler.java;333;414;5;0;2;390;365;4.0;366;365;3.0;289;278;118.0;yes
