Dataset , TrainingReleases , %DataTraining , %DefectiveTraining , %DefectiveTesting , Classifier , Balancing , FeatureSelection , TP , FP , TN , FN , Precision , Recall  , AUC , Kappa 
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,OverSampling,None,32.0,49.0,153.0,205.0,0.3950617283950617,0.1350210970464135,0.3767493837991394,-0.1017508497351987
BookkeeperBugginess.arff,2,17,34,53,RandomForest,OverSampling,None,70.0,76.0,126.0,167.0,0.4794520547945205,0.29535864978902954,0.4041024355600117,-0.07827519634500117
BookkeeperBugginess.arff,2,17,34,53,IBk,OverSampling,None,70.0,80.0,122.0,167.0,0.4666666666666667,0.29535864978902954,0.45385804403225133,-0.0975777636067333
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,Smote,None,30.0,53.0,149.0,207.0,0.3614457831325301,0.12658227848101267,0.3606759410118227,-0.12855702109988332
BookkeeperBugginess.arff,2,17,34,53,RandomForest,Smote,None,47.0,60.0,142.0,190.0,0.4392523364485981,0.19831223628691982,0.36435225801061116,-0.09423916728150106
BookkeeperBugginess.arff,2,17,34,53,IBk,Smote,None,56.0,70.0,132.0,181.0,0.4444444444444444,0.23628691983122363,0.4407402765593015,-0.10594883221422624
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,None,BestFirst,29.0,47.0,155.0,208.0,0.3815789473684211,0.12236286919831224,0.34018465137653003,-0.10417920164130072
BookkeeperBugginess.arff,2,17,34,53,RandomForest,None,BestFirst,32.0,46.0,156.0,205.0,0.41025641025641024,0.1350210970464135,0.3611041483895225,-0.08760968483807599
BookkeeperBugginess.arff,2,17,34,53,IBk,None,BestFirst,57.0,74.0,128.0,180.0,0.4351145038167939,0.24050632911392406,0.4330743200902369,-0.12113656015604576
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,UnderSampling,BestFirst,28.0,38.0,164.0,209.0,0.42424242424242425,0.11814345991561181,0.3518089150687221,-0.0658586692616948
BookkeeperBugginess.arff,2,17,34,53,RandomForest,UnderSampling,BestFirst,57.0,76.0,126.0,180.0,0.42857142857142855,0.24050632911392406,0.4038517775828216,-0.13076025274681036
BookkeeperBugginess.arff,2,17,34,53,IBk,UnderSampling,BestFirst,81.0,94.0,108.0,156.0,0.46285714285714286,0.34177215189873417,0.4337531854451268,-0.12083580138483216
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,OverSampling,BestFirst,28.0,46.0,156.0,209.0,0.3783783783783784,0.11814345991561181,0.35141203993817105,-0.10341734596315535
BookkeeperBugginess.arff,2,17,34,53,RandomForest,OverSampling,BestFirst,58.0,73.0,129.0,179.0,0.44274809160305345,0.24472573839662448,0.41078664828508166,-0.11230871322568321
BookkeeperBugginess.arff,2,17,34,53,IBk,OverSampling,BestFirst,69.0,86.0,116.0,168.0,0.44516129032258067,0.2911392405063291,0.4403851777582822,-0.1306860816483806
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,Smote,BestFirst,26.0,42.0,160.0,211.0,0.38235294117647056,0.10970464135021098,0.33667543969586833,-0.09250169678250686
BookkeeperBugginess.arff,2,17,34,53,RandomForest,Smote,BestFirst,50.0,65.0,137.0,187.0,0.43478260869565216,0.2109704641350211,0.35921376947821365,-0.10608090543702133
BookkeeperBugginess.arff,2,17,34,53,IBk,Smote,BestFirst,61.0,77.0,125.0,176.0,0.4420289855072464,0.25738396624472576,0.4341813928228266,-0.11948031004001494
BookkeeperBugginess.arff,3,31,43,67,NaiveBayes,None,None,25.0,10.0,132.0,272.0,0.7142857142857143,0.08417508417508418,0.7475340257030398,0.009283119128027003
BookkeeperBugginess.arff,3,31,43,67,RandomForest,None,None,237.0,0.0,142.0,60.0,1.0,0.797979797979798,0.9362640489401053,0.7187339825730396
BookkeeperBugginess.arff,3,31,43,67,IBk,None,None,237.0,0.0,142.0,60.0,1.0,0.797979797979798,0.898989898989899,0.7187339825730396
BookkeeperBugginess.arff,3,31,43,67,NaiveBayes,UnderSampling,None,24.0,9.0,133.0,273.0,0.7272727272727273,0.08080808080808081,0.7283397353819889,0.011734840501963727
BookkeeperBugginess.arff,3,31,43,67,RandomForest,UnderSampling,None,243.0,9.0,133.0,54.0,0.9642857142857143,0.8181818181818182,0.9264238630435814,0.6971518675470583
BookkeeperBugginess.arff,3,31,43,67,IBk,UnderSampling,None,241.0,8.0,134.0,56.0,0.9678714859437751,0.8114478114478114,0.8775548916393987,0.6939033424848564
BookkeeperBugginess.arff,3,31,43,67,NaiveBayes,OverSampling,None,24.0,10.0,132.0,273.0,0.7058823529411765,0.08080808080808081,0.6861454924835206,0.007001670489877117
BookkeeperBugginess.arff,3,31,43,67,RandomForest,OverSampling,None,205.0,14.0,128.0,92.0,0.9360730593607306,0.6902356902356902,0.8409920804287001,0.5174723656649869
BookkeeperBugginess.arff,3,31,43,67,IBk,OverSampling,None,208.0,16.0,126.0,89.0,0.9285714285714286,0.7003367003367004,0.7881988903115663,0.5181522636756113
BookkeeperBugginess.arff,3,31,43,67,NaiveBayes,Smote,None,25.0,9.0,133.0,272.0,0.7352941176470589,0.08417508417508418,0.7335325081803955,0.014019326528817906
BookkeeperBugginess.arff,3,31,43,67,RandomForest,Smote,None,237.0,0.0,142.0,60.0,1.0,0.797979797979798,0.9401289894247641,0.7187339825730396
BookkeeperBugginess.arff,3,31,43,67,IBk,Smote,None,237.0,0.0,142.0,60.0,1.0,0.797979797979798,0.898989898989899,0.7187339825730396
BookkeeperBugginess.arff,3,31,43,67,NaiveBayes,None,BestFirst,152.0,7.0,135.0,145.0,0.9559748427672956,0.5117845117845118,0.8702992364964196,0.368930753371541
BookkeeperBugginess.arff,3,31,43,67,RandomForest,None,BestFirst,237.0,0.0,142.0,60.0,1.0,0.797979797979798,0.9378764167496562,0.7187339825730396
BookkeeperBugginess.arff,3,31,43,67,IBk,None,BestFirst,237.0,0.0,142.0,60.0,1.0,0.797979797979798,0.898989898989899,0.7187339825730396
BookkeeperBugginess.arff,3,31,43,67,NaiveBayes,UnderSampling,BestFirst,202.0,15.0,127.0,95.0,0.9308755760368663,0.6801346801346801,0.8424858917816664,0.500868235002274
BookkeeperBugginess.arff,3,31,43,67,RandomForest,UnderSampling,BestFirst,244.0,23.0,119.0,53.0,0.9138576779026217,0.8215488215488216,0.9150424432114573,0.625115171127441
BookkeeperBugginess.arff,3,31,43,67,IBk,UnderSampling,BestFirst,241.0,9.0,133.0,56.0,0.964,0.8114478114478114,0.870512638118272,0.6885947202427074
